Date,Amount,Merchant,Category,Notes
2022-10-17,0.99,Deposit,Other Income,
2022-10-17,1.87,Deposit,Other Income,
2022-10-15,1.62,Deposit,Other Income,
2022-10-15,3.93,Deposit,Other Income,
2022-10-14,1.0,Deposit,Other Income,
2022-10-13,0.33,Deposit,Other Income,
2022-10-11,1.99,Deposit,Other Income,
2022-10-11,1.33,Deposit,Other Income,
2022-10-10,1.62,Deposit,Other Income,
2022-10-09,0.75,Deposit,Other Income,
2022-10-06,4.0,Deposit,Other Income,
2022-10-05,0.16,Deposit,Other Income,
2022-10-05,0.08,Deposit,Other Income,
2022-10-04,1.99,Deposit,Other Income,
2022-10-04,0.32,Deposit,Other Income,
2022-10-01,0.98,Deposit,Other Income,
2022-09-29,2.86,Deposit,Other Income,
2022-09-29,0.06,Deposit,Other Income,
2022-09-29,0.2,Deposit,Other Income,
2022-09-29,0.13,Deposit,Other Income,
2022-09-19,0.86,Deposit,Other Income,
2022-09-19,1.7,Deposit,Other Income,
2022-09-18,0.43,Deposit,Other Income,
2022-09-17,1.87,Deposit,Other Income,
2022-09-14,0.06,Deposit,Other Income,
2022-09-14,0.08,Deposit,Other Income,
2022-09-13,0.33,Deposit,Other Income,
2022-09-13,0.14,Deposit,Other Income,
2022-09-12,6.41,Deposit,Other Income,
2022-09-11,-274.15,Apple,Electronics,
2022-09-11,-31.93,Apple,Electronics,
2022-09-10,1.62,Deposit,Other Income,
2022-09-10,1.38,Deposit,Other Income,
2022-09-09,-64.96,Apple,Electronics,
2022-09-08,2.2,Deposit,Other Income,
2022-09-07,0.44,Deposit,Other Income,
2022-09-06,0.86,Deposit,Other Income,
2022-09-05,1.17,Deposit,Other Income,
2022-09-03,0.08,Deposit,Other Income,
2022-08-31,0.98,Deposit,Other Income,
2022-08-30,0.13,Deposit,Other Income,
2022-08-28,0.87,Deposit,Other Income,
2022-08-27,3.74,Deposit,Other Income,
2022-08-27,0.72,Deposit,Other Income,
2022-08-27,2.11,Deposit,Other Income,
2022-08-27,0.22,Deposit,Other Income,
2022-08-17,0.43,Deposit,Other Income,
2022-08-16,1.87,Deposit,Other Income,
2022-08-16,1.65,Deposit,Other Income,
2022-08-15,0.28,Deposit,Other Income,
2022-08-14,0.33,Deposit,Other Income,
2022-08-14,0.6,Deposit,Other Income,
2022-08-14,0.59,Deposit,Other Income,
2022-08-14,1.5,Deposit,Other Income,
2022-08-13,0.64,Deposit,Other Income,
2022-08-13,1.45,Deposit,Other Income,
2022-08-13,1.08,Deposit,Other Income,
2022-08-13,0.68,Deposit,Other Income,
2022-08-12,0.89,Deposit,Other Income,
2022-08-12,0.46,Deposit,Other Income,
2022-08-12,0.91,Deposit,Other Income,
2022-08-12,0.94,Deposit,Other Income,
2022-08-11,0.1,Deposit,Other Income,
2022-08-11,0.11,Deposit,Other Income,
2022-08-11,0.1,Deposit,Other Income,
